Rep,N,Crate,Model,run_sec,nu
11,25,0.05,MSL,0.0,4
11,25,0.05,MVNC,0.0499999999992724,4
11,25,0.05,MVTC,1.5,4
11,25,0.05,MSLC,7281.6,4
12,25,0.05,MVN,0.0,4
12,25,0.05,MVT,0.0,4
12,25,0.05,MSL,0.0099999999983992,4
12,25,0.05,MVNC,0.0099999999983992,4
12,25,0.05,MVTC,2.33000000000175,4
12,25,0.05,MSLC,1419.2,4
13,25,0.05,MVN,0.0,4
13,25,0.05,MVT,0.0299999999988358,4
13,25,0.05,MSL,0.0299999999988358,4
13,25,0.05,MVNC,0.340000000003783,4
13,25,0.05,MVTC,8.97000000000116,4
13,25,0.05,MSLC,11714.82,4
14,25,0.05,MVN,0.0,4
14,25,0.05,MVT,0.0199999999967986,4
