Rep,N,Crate,Model,SE1,SE2,SE3,nu
6,25,0.0,MSLCR,0.286497878602455,0.603082716027495,0.304642950135304,4
7,25,0.0,MVNR,0.254760340342191,0.614770235581199,0.265461264152158,4
7,25,0.0,MVTR,0.248384724814904,0.60515494594874,0.257485429690696,4
7,25,0.0,MSLR,0.252899593889173,0.606019434858081,0.258214022434252,4
7,25,0.0,MVNCR,0.254760340342192,0.614770235581203,0.26546126415216,4
7,25,0.0,MVTCR,0.248384724816112,0.605154945951427,0.257485429691973,4
7,25,0.0,MSLCR,0.25301016183222,0.606265411706157,0.258202117658825,4
8,25,0.0,MVNR,0.183508147157916,0.383359758559257,0.198568324983664,4
8,25,0.0,MVTR,0.183509176819456,0.383312432421032,0.198570261184182,4
8,25,0.0,MSLR,0.18321223397622,0.382693040412424,0.198243015642233,4
8,25,0.0,MVNCR,0.183508147157916,0.383359758559257,0.198568324983663,4
8,25,0.0,MVTCR,0.183509177108128,0.383312433087264,0.198570261495044,4
8,25,0.0,MSLCR,0.183583492232316,0.383355425144893,0.198626448112102,4
9,25,0.0,MVNR,0.229341591234734,0.624462784371498,0.303456092310026,4
9,25,0.0,MVTR,0.176086920945516,0.462527484501855,0.225293371792231,4
9,25,0.0,MSLR,0.179393591911664,0.475633815547908,0.232219028323636,4
9,25,0.0,MVNCR,0.229341591234732,0.624462784371489,0.303456092310021,4
9,25,0.0,MVTCR,0.176086920903353,0.46252748434994,0.225293371719404,4
9,25,0.0,MSLCR,0.205234046956646,0.561738933610387,0.272714120165135,4
10,25,0.0,MVNR,0.297574705988157,0.644463839988744,0.305047864978919,4
10,25,0.0,MVTR,0.253819724142151,0.56739293903789,0.276199757846212,4
10,25,0.0,MSLR,0.250642806040165,0.578893684469071,0.28782777955151,4
10,25,0.0,MVNCR,0.297574705988159,0.644463839988752,0.305047864978922,4
10,25,0.0,MVTCR,0.253819724189726,0.567392939133244,0.276199757889639,4
10,25,0.0,MSLCR,0.248802231079159,0.575279562487455,0.286167524853911,4
11,25,0.0,MVNR,0.263335824616638,0.51668937967538,0.255545046153221,4
11,25,0.0,MVTR,0.263335452102451,0.516691643111422,0.25554630031489,4
11,25,0.0,MSLR,0.263323671064264,0.516761255389589,0.255585336430763,4
11,25,0.0,MVNCR,0.263335824616638,0.51668937967536,0.255545046153211,4
11,25,0.0,MVTCR,0.263335451882834,0.516691644445552,0.255546301054124,4
11,25,0.0,MSLCR,0.261837384987643,0.523375646216307,0.259470846509371,4
12,25,0.0,MVNR,0.196248305601607,0.551252738626817,0.247621149881613,4
12,25,0.0,MVTR,0.181511299213558,0.486061786710847,0.218681959367916,4
12,25,0.0,MSLR,0.187812139385711,0.490284080471596,0.22274394804214,4
12,25,0.0,MVNCR,0.196248305601607,0.551252738626806,0.247621149881608,4
12,25,0.0,MVTCR,0.181511299208817,0.486061786697369,0.218681959361752,4
12,25,0.0,MSLCR,0.192755683545211,0.51461110959176,0.232762400120623,4
13,25,0.0,MVNR,0.343668316039325,0.602952824567314,0.260973941419557,4
13,25,0.0,MVTR,0.343668454109747,0.602953028131984,0.260973994927426,4
13,25,0.0,MSLR,0.343677407514529,0.602965638985845,0.260977311272919,4
13,25,0.0,MVNCR,0.343668316039321,0.602952824567296,0.26097394141955,4
13,25,0.0,MVTCR,0.343668384551384,0.602952935687257,0.260973971407312,4
13,25,0.0,MSLCR,0.346211628737769,0.607982627531464,0.262117057933504,4
14,25,0.0,MVNR,0.278860507680631,0.61974709809134,0.291055671654009,4
14,25,0.0,MVTR,0.262866591194108,0.565994600687083,0.269401570998376,4
14,25,0.0,MSLR,0.27025669178656,0.591393426321019,0.28323837117816,4
14,25,0.0,MVNCR,0.278860507680631,0.619747098091339,0.291055671654008,4
14,25,0.0,MVTCR,0.262866591772735,0.565994602253738,0.269401571740203,4
14,25,0.0,MSLCR,0.268252750136969,0.586329542929229,0.281071174739973,4
15,25,0.0,MVNR,0.181999298460168,0.592201992425515,0.30610838190705,4
15,25,0.0,MVTR,0.182588836378474,0.59127883427566,0.304761213523095,4
15,25,0.0,MSLR,0.184565670018275,0.593953583851448,0.305429337779208,4
15,25,0.0,MVNCR,0.181999298460167,0.5922019924255,0.306108381907042,4
15,25,0.0,MVTCR,0.18258883639351,0.591278834330299,0.304761213558533,4
15,25,0.0,MSLCR,0.184762565977871,0.594108808117895,0.305409078137496,4
16,25,0.0,MVNR,0.289645549566068,0.80958541529737,0.367399699295913,4
16,25,0.0,MVTR,0.286268701016359,0.801161706859518,0.363274196004919,4
16,25,0.0,MSLR,0.288900547597991,0.808051217330671,0.366588409485152,4
16,25,0.0,MVNCR,0.289645549566062,0.809585415297335,0.367399699295896,4
16,25,0.0,MVTCR,0.286268701031363,0.801161706891154,0.363274196022321,4
16,25,0.0,MSLCR,0.282243203299918,0.79115360060643,0.358096930498648,4
17,25,0.0,MVNR,0.256155646808852,0.703485229803476,0.326818543707008,4
17,25,0.0,MVTR,0.267756860583155,0.683320152078804,0.320425797130544,4
17,25,0.0,MSLR,0.264441805970604,0.662076294956213,0.311077302800487,4
17,25,0.0,MVNCR,0.256155646808851,0.703485229803454,0.326818543706997,4
17,25,0.0,MVTCR,0.267756860584565,0.683320152082261,0.32042579713224,4
17,25,0.0,MSLCR,0.264886893971293,0.662235976451939,0.311144636931861,4
18,25,0.0,MVNR,0.25110798641767,0.689479182061375,0.358038084288938,4
18,25,0.0,MVTR,0.237508638376176,0.658597634567176,0.328903856052917,4
18,25,0.0,MSLR,0.228432149014679,0.636990814112322,0.316797362201493,4
18,25,0.0,MVNCR,0.251107986417671,0.689479182061377,0.358038084288939,4
18,25,0.0,MVTCR,0.237508638402973,0.65859763463956,0.328903856091929,4
18,25,0.0,MSLCR,0.229519016404694,0.638857948152641,0.31795567021252,4
19,25,0.0,MVNR,0.264084021721816,0.811568074237955,0.406080952717667,4
19,25,0.0,MVTR,0.254367613124483,0.782530477333459,0.391988868656455,4
19,25,0.0,MSLR,0.25971467805398,0.798185033551394,0.399546465493144,4
19,25,0.0,MVNCR,0.264084021721816,0.811568074237955,0.406080952717667,4
19,25,0.0,MVTCR,0.254367613076194,0.782530477183859,0.391988868580349,4
19,25,0.0,MSLCR,0.232957827885849,0.716899268824132,0.359214521998985,4
20,25,0.0,MVNR,0.22539551964407,0.654934920172135,0.329755479037427,4
20,25,0.0,MVTR,0.209807519564557,0.670879043476639,0.333125697401969,4
20,25,0.0,MSLR,0.202097377196743,0.662299878682733,0.326814611206437,4
