Rep,N,Crate,Model,MSE_R,MSE_C,nu
89,25,0.0,MVNR,2.42760744968191,,4
89,25,0.0,MVTR,2.42760757460747,,4
89,25,0.0,MSLR,2.42760487770398,,4
89,25,0.0,MVNCR,2.42760744968191,,4
89,25,0.0,MVTCR,2.42760757333543,,4
89,25,0.0,MSLCR,2.42772305809626,,4
90,25,0.0,MVNR,2.75188274701475,,4
90,25,0.0,MVTR,2.75150427060199,,4
90,25,0.0,MSLR,2.75326383818912,,4
90,25,0.0,MVNCR,2.75188274701475,,4
90,25,0.0,MVTCR,2.75150426985748,,4
90,25,0.0,MSLCR,2.75385367805418,,4
91,25,0.0,MVNR,2.46879327505876,,4
91,25,0.0,MVTR,2.46880592418345,,4
91,25,0.0,MSLR,2.46880690125897,,4
91,25,0.0,MVNCR,2.46879327505876,,4
91,25,0.0,MVTCR,2.46880583210789,,4
91,25,0.0,MSLCR,2.47076515290924,,4
92,25,0.0,MVNR,3.04731200831988,,4
92,25,0.0,MVTR,3.04896631451786,,4
92,25,0.0,MSLR,3.050584809084,,4
92,25,0.0,MVNCR,3.04731200831988,,4
92,25,0.0,MVTCR,3.04896631451788,,4
92,25,0.0,MSLCR,3.05301501810893,,4
93,25,0.0,MVNR,2.75155951388662,,4
93,25,0.0,MVTR,2.75324592532432,,4
93,25,0.0,MSLR,2.7517418677636,,4
93,25,0.0,MVNCR,2.75155951388662,,4
93,25,0.0,MVTCR,2.75324592532306,,4
93,25,0.0,MSLCR,2.75359837951891,,4
94,25,0.0,MVNR,2.33041520840013,,4
94,25,0.0,MVTR,2.33061529530172,,4
94,25,0.0,MSLR,2.33090399092513,,4
94,25,0.0,MVNCR,2.33041520840013,,4
94,25,0.0,MVTCR,2.33053597496947,,4
94,25,0.0,MSLCR,2.33472944386761,,4
95,25,0.0,MVNR,3.25650353048962,,4
95,25,0.0,MVTR,3.25708377459354,,4
