Rep,N,Crate,Model,LogLik,AIC,BIC,nu
38,25,0.0,MVTCR,-218.28512483127,474.57024966254,497.728890335036,4
38,25,0.0,MSLCR,-219.058298283522,476.116596567044,499.27523723954,4
39,25,0.0,MVNR,-223.698564495756,483.397128991513,505.33689383914,4
39,25,0.0,MVTR,-223.165713541725,484.33142708345,507.490067755945,4
39,25,0.0,MSLR,-222.896873406983,483.793746813967,506.952387486463,4
39,25,0.0,MVNCR,-223.698564495756,483.397128991513,505.33689383914,4
39,25,0.0,MVTCR,-223.165713541729,484.331427083459,507.490067755955,4
39,25,0.0,MSLCR,-222.913300225142,483.826600450283,506.985241122779,4
40,25,0.0,MVNR,-242.635536990255,521.27107398051,543.210838828138,4
40,25,0.0,MVTR,-236.827299427038,511.654598854075,534.813239526571,4
40,25,0.0,MSLR,-236.048391172783,510.096782345567,533.255423018063,4
40,25,0.0,MVNCR,-242.635536990255,521.27107398051,543.210838828138,4
40,25,0.0,MVTCR,-236.827299427015,511.654598854031,534.813239526526,4
40,25,0.0,MSLCR,-236.252703854328,510.505407708656,533.664048381152,4
41,25,0.0,MVNR,-225.337632857076,486.675265714152,508.615030561779,4
41,25,0.0,MVTR,-222.605536011082,483.211072022163,506.369712694659,4
41,25,0.0,MSLR,-222.138430205556,482.276860411113,505.435501083609,4
41,25,0.0,MVNCR,-225.337632857076,486.675265714152,508.615030561779,4
41,25,0.0,MVTCR,-222.605536010716,483.211072021432,506.369712693928,4
41,25,0.0,MSLCR,-222.232978892633,482.465957785267,505.624598457762,4
42,25,0.0,MVNR,-250.262885866141,536.525771732283,558.46553657991,4
42,25,0.0,MVTR,-238.486241475023,514.972482950045,538.131123622541,4
42,25,0.0,MSLR,-237.224794561486,512.449589122972,535.608229795468,4
42,25,0.0,MVNCR,-250.262885866141,536.525771732283,558.46553657991,4
42,25,0.0,MVTCR,-238.486241475036,514.972482950073,538.131123622569,4
